iter	Logloss
0	0.5810236599
1	0.4844313452
2	0.4231325296
3	0.3877671623
4	0.3594448629
5	0.3454014455
6	0.3376515006
7	0.3299751495
8	0.3248907239
9	0.3111721171
10	0.3004933553
11	0.2873665423
12	0.2761431828
13	0.270499568
14	0.2602347652
15	0.2569128357
16	0.2473124268
17	0.2433463799
18	0.2359882722
19	0.2305704663
20	0.2229053375
21	0.2196195007
22	0.2143562109
23	0.2112009037
24	0.2046410614
25	0.2020834885
26	0.2001248005
27	0.1975894594
28	0.1960402133
29	0.1938048575
30	0.1920451241
31	0.1905309329
32	0.1866087696
33	0.1835204208
34	0.1802230605
35	0.1781194978
36	0.1752775432
37	0.1741199161
38	0.1722740193
39	0.1710203166
40	0.1687810842
41	0.1673592583
42	0.1661252152
43	0.165503437
44	0.1641823725
45	0.1627458417
46	0.1617403629
47	0.1606073385
48	0.1592628063
49	0.1583709811
50	0.1575548005
51	0.1568406679
52	0.1552788092
53	0.154112452
54	0.1533196097
55	0.1525963359
56	0.1516957519
57	0.1505405681
58	0.1491120091
59	0.1479190749
60	0.1469757217
61	0.1461575517
62	0.145130942
63	0.1442383717
64	0.1436625967
65	0.1424951592
66	0.142071453
67	0.1413956121
68	0.1407496041
69	0.139879747
70	0.1392710316
71	0.1388115807
72	0.1379236722
73	0.1370830593
74	0.1361445902
75	0.1353223673
76	0.1344262716
77	0.1336894537
78	0.132885426
79	0.1319291418
80	0.1314571051
81	0.1308061251
82	0.1301390863
83	0.1295352654
84	0.1292968355
85	0.1282950548
86	0.1275881824
87	0.1271337419
88	0.1267313488
89	0.1262326394
90	0.1255645695
91	0.1246571278
92	0.1240067353
93	0.1233197531
94	0.1225986657
95	0.12192254
96	0.1213985473
97	0.1209577719
98	0.1204391151
99	0.1194770489
100	0.1189958822
101	0.1185232787
102	0.1178414104
103	0.117312693
104	0.1167270284
105	0.1158773498
106	0.1151833334
107	0.1142937543
108	0.1136494062
109	0.1133731489
110	0.1125485995
111	0.1121870293
112	0.1117108405
113	0.1113072038
114	0.1108171312
115	0.11037126
116	0.1097520398
117	0.1094276723
118	0.1091212684
119	0.108685004
120	0.1083307578
121	0.1077876914
122	0.1074107799
123	0.1068948138
124	0.1062304859
125	0.1058988251
126	0.1055392685
127	0.1049821821
128	0.1046578854
129	0.1040685631
130	0.1035740278
131	0.1032560122
132	0.102746952
133	0.1021589101
134	0.1016027727
135	0.1010353255
136	0.100385288
137	0.09979940161
138	0.09954517878
139	0.09933247143
140	0.0987237449
141	0.09842330427
142	0.09800197739
143	0.09757320815
144	0.09729667092
145	0.0968220381
146	0.09619615159
147	0.09600454671
148	0.09540789218
149	0.09504580583
150	0.09472264264
151	0.09438980621
152	0.09383044839
153	0.09347501139
154	0.09296293089
155	0.09264226319
156	0.09198916609
157	0.09150854885
158	0.09125660218
159	0.09081132045
160	0.09026650796
161	0.08986062914
162	0.08943207937
163	0.08893613266
164	0.08865145991
165	0.08836148196
166	0.08802696632
167	0.08770577231
168	0.08727457462
169	0.08674419397
170	0.0861025476
171	0.08578393152
172	0.08535406498
173	0.08500886934
174	0.08452503058
175	0.08415236975
176	0.08361617228
177	0.08336606792
178	0.08294232061
179	0.08249205301
180	0.08216046016
181	0.08162042375
182	0.08103860101
183	0.08072534802
184	0.08035059295
185	0.08006945699
186	0.07954609677
187	0.0793426134
188	0.07908161643
189	0.07869847327
190	0.07837727969
191	0.07825291284
192	0.07786153624
193	0.07760020232
194	0.07740953131
195	0.07709470939
196	0.07683100368
197	0.07644553681
198	0.07582779371
199	0.07554768029
